ts,event_id,type,from,to,action,자원,크기
2016-01-05,E042,정기모임,강람수,황민은,모임,유대,0.5
2016-01-05,E042,정기모임,황민은,강람수,모임,유대,0.5
2016-01-05,E042,정기모임,강람수,홍도람,모임,유대,0.5
2016-01-05,E042,정기모임,홍도람,강람수,모임,유대,0.5
2016-01-05,E042,정기모임,강람수,황준건,모임,유대,0.5
2016-01-05,E042,정기모임,황준건,강람수,모임,유대,0.5
2016-01-05,E042,정기모임,강람수,오연주,모임,유대,0.5
2016-01-05,E042,정기모임,오연주,강람수,모임,유대,0.5
2016-01-05,E042,정기모임,강람수,이현서,모임,유대,0.5
2016-01-05,E042,정기모임,이현서,강람수,모임,유대,0.5
2016-01-05,E042,정기모임,강람수,정준람,모임,유대,0.5
2016-01-05,E042,정기모임,정준람,강람수,모임,유대,0.5
2016-01-05,E042,정기모임,황민은,홍도람,모임,유대,0.5
2016-01-05,E042,정기모임,홍도람,황민은,모임,유대,0.5
2016-01-05,E042,정기모임,황민은,황준건,모임,유대,0.5
2016-01-05,E042,정기모임,황준건,황민은,모임,유대,0.5
2016-01-05,E042,정기모임,황민은,오연주,모임,유대,0.5
2016-01-05,E042,정기모임,오연주,황민은,모임,유대,0.5
2016-01-05,E042,정기모임,황민은,이현서,모임,유대,0.5
2016-01-05,E042,정기모임,이현서,황민은,모임,유대,0.5
2016-01-05,E042,정기모임,황민은,정준람,모임,유대,0.5
2016-01-05,E042,정기모임,정준람,황민은,모임,유대,0.5
2016-01-05,E042,정기모임,홍도람,황준건,모임,유대,0.5
2016-01-05,E042,정기모임,황준건,홍도람,모임,유대,0.5
2016-01-05,E042,정기모임,홍도람,오연주,모임,유대,0.5
2016-01-05,E042,정기모임,오연주,홍도람,모임,유대,0.5
2016-01-05,E042,정기모임,홍도람,이현서,모임,유대,0.5
2016-01-05,E042,정기모임,이현서,홍도람,모임,유대,0.5
2016-01-05,E042,정기모임,홍도람,정준람,모임,유대,0.5
2016-01-05,E042,정기모임,정준람,홍도람,모임,유대,0.5
2016-01-05,E042,정기모임,황준건,오연주,모임,유대,0.5
2016-01-05,E042,정기모임,오연주,황준건,모임,유대,0.5
2016-01-05,E042,정기모임,황준건,이현서,모임,유대,0.5
2016-01-05,E042,정기모임,이현서,황준건,모임,유대,0.5
2016-01-05,E042,정기모임,황준건,정준람,모임,유대,0.5
2016-01-05,E042,정기모임,정준람,황준건,모임,유대,0.5
2016-01-05,E042,정기모임,오연주,이현서,모임,유대,0.5
2016-01-05,E042,정기모임,이현서,오연주,모임,유대,0.5
2016-01-05,E042,정기모임,오연주,정준람,모임,유대,0.5
